current_state,previous_state,estimate,margin_of_error,year
DC,TX,1180,605.0,2010
DC,UT,0,292.0,2010
DC,VA,7915,1638.0,2010
DC,VT,199,245.0,2010
DC,WA,284,220.0,2010
DC,WI,391,325.0,2010
DC,WV,860,754.0,2010
DC,WY,0,292.0,2010
DE,AK,68,111.0,2010
DE,AL,128,211.0,2010
DE,AR,0,265.0,2010
DE,AZ,60,78.0,2010
DE,CA,353,290.0,2010
DE,CO,178,249.0,2010
DE,CT,714,693.0,2010
DE,DC,432,467.0,2010
DE,FL,2362,996.0,2010
DE,GA,585,575.0,2010
DE,HI,0,265.0,2010
DE,IA,0,265.0,2010
DE,ID,0,265.0,2010
DE,IL,612,583.0,2010
DE,IN,0,265.0,2010
DE,KS,28,47.0,2010
DE,KY,163,273.0,2010
DE,LA,0,265.0,2010
DE,MA,689,538.0,2010
DE,MD,4969,1144.0,2010
DE,ME,294,406.0,2010
DE,MI,61,102.0,2010
DE,MN,55,92.0,2010
DE,MO,539,842.0,2010
DE,MS,0,265.0,2010
DE,MT,73,120.0,2010
DE,NC,424,466.0,2010
DE,ND,0,265.0,2010
DE,NE,0,265.0,2010
DE,NH,139,246.0,2010
DE,NJ,3678,935.0,2010
DE,NM,59,98.0,2010
DE,NV,106,183.0,2010
DE,NY,4251,1555.0,2010
DE,OH,325,339.0,2010
DE,OK,0,265.0,2010
DE,OR,0,265.0,2010
DE,PA,7318,2368.0,2010
DE,RI,149,241.0,2010
DE,SC,195,272.0,2010
DE,SD,0,265.0,2010
DE,TN,146,248.0,2010
DE,TX,178,313.0,2010
DE,UT,0,265.0,2010
DE,VA,1051,538.0,2010
DE,VT,0,265.0,2010
DE,WA,377,280.0,2010
DE,WI,0,265.0,2010
DE,WV,0,265.0,2010
DE,WY,0,265.0,2010
FL,AK,5887,2502.0,2010
FL,AL,15830,3829.0,2010
FL,AR,3611,1562.0,2010
FL,AZ,3907,1463.0,2010
FL,CA,22130,3867.0,2010
FL,CO,6428,1941.0,2010
FL,CT,11183,2730.0,2010
FL,DC,1110,564.0,2010
FL,DE,3099,1603.0,2010
FL,GA,35615,5500.0,2010
FL,HI,2021,990.0,2010
FL,IA,2921,1091.0,2010
FL,ID,884,747.0,2010
FL,IL,17432,3007.0,2010
FL,IN,9030,2849.0,2010
FL,KS,4136,2062.0,2010
FL,KY,6321,1902.0,2010
FL,LA,7232,2781.0,2010
FL,MA,13900,2269.0,2010
FL,MD,13241,2929.0,2010
FL,ME,5497,1861.0,2010
FL,MI,21359,4622.0,2010
FL,MN,5439,2349.0,2010
FL,MO,7984,2232.0,2010
FL,MS,7929,3596.0,2010
FL,MT,338,289.0,2010
FL,NC,19108,3464.0,2010
FL,ND,794,720.0,2010
FL,NE,1544,1314.0,2010
FL,NH,3645,1193.0,2010
FL,NJ,22344,3256.0,2010
FL,NM,900,872.0,2010
FL,NV,7050,3281.0,2010
FL,NY,55011,6848.0,2010
FL,OH,21047,3825.0,2010
FL,OK,3466,1518.0,2010
FL,OR,1655,1187.0,2010
FL,PA,19935,3976.0,2010
FL,RI,1982,813.0,2010
FL,SC,10759,2906.0,2010
FL,SD,430,473.0,2010
FL,TN,12882,2482.0,2010
FL,TX,24039,5038.0,2010
FL,UT,2833,1249.0,2010
FL,VA,20080,4137.0,2010
FL,VT,1442,935.0,2010
FL,WA,3573,1239.0,2010
FL,WI,8081,2929.0,2010
FL,WV,5634,2872.0,2010
FL,WY,191,258.0,2010
GA,AK,3645,1932.0,2010
GA,AL,13840,2473.0,2010
GA,AR,599,436.0,2010
GA,AZ,2554,1303.0,2010
GA,CA,8909,2412.0,2010
GA,CO,3224,2058.0,2010
GA,CT,2619,1473.0,2010
GA,DC,1708,1278.0,2010
GA,DE,837,753.0,2010
GA,FL,49901,5558.0,2010
GA,HI,1040,658.0,2010
